UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
P0C0L4	NA	NA	NA	NA	NA	DOMAIN 702..736;  /note=Anaphylatoxin-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00022; DOMAIN 1595..1742;  /note=NTR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00295	NA	NA	NA	NA
P05106	NA	SIMILARITY: Belongs to the integrin beta chain family. {ECO:0000305}.	Integrin beta chain family	NA	NA	DOMAIN 135..377;  /note=VWFA	MOTIF 777..783;  /note=LIR;  /evidence=ECO:0000305|PubMed:33436497, ECO:0000305|PubMed:33436498	REGION 203..210;  /note=Involved in CX3CL1-, NRG1-, FGF1- and IGF1-binding;  /evidence=ECO:0000269|PubMed:18441324, ECO:0000269|PubMed:19578119, ECO:0000269|PubMed:20682778, ECO:0000269|PubMed:23125415; REGION 293..313;  /note=CX3CL1-binding;  /evidence=ECO:0000269|PubMed:24789099; REGION 463..629;  /note=Cysteine-rich tandem repeats	REPEAT 463..511;  /note=I; REPEAT 512..553;  /note=II; REPEAT 554..592;  /note=III; REPEAT 593..629;  /note=IV	NA
P39900	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 90..97;  /note=Cysteine switch;  /evidence=ECO:0000250	NA	REPEAT 279..328;  /note=Hemopexin 1; REPEAT 329..375;  /note=Hemopexin 2; REPEAT 377..425;  /note=Hemopexin 3; REPEAT 426..470;  /note=Hemopexin 4	NA
Q9H239	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 89..96;  /note=Cysteine switch;  /evidence=ECO:0000250	NA	REPEAT 325..369;  /note=Hemopexin 1; REPEAT 370..409;  /note=Hemopexin 2; REPEAT 415..463;  /note=Hemopexin 3; REPEAT 464..510;  /note=Hemopexin 4	NA
P08603	DOMAIN: Sushi 1-3 domain represents the minimal unit capable of cofactor activity (PubMed:18252712). The property to discriminate self surfaces from non-self surfaces depends on the C-terminal region made of Sushis 19-20 (PubMed:21285368). {ECO:0000269|PubMed:18252712, ECO:0000269|PubMed:21285368}.	NA	NA	NA	NA	DOMAIN 19..82;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 83..143;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 144..207;  /note=Sushi 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 208..264;  /note=Sushi 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 265..322;  /note=Sushi 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 324..386;  /note=Sushi 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 387..444;  /note=Sushi 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 446..507;  /note=Sushi 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 515..566;  /note=Sushi 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 567..625;  /note=Sushi 10;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 628..686;  /note=Sushi 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 689..746;  /note=Sushi 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 751..805;  /note=Sushi 13;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 809..866;  /note=Sushi 14;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 868..928;  /note=Sushi 15;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 929..986;  /note=Sushi 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 987..1045;  /note=Sushi 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 1046..1104;  /note=Sushi 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 1107..1165;  /note=Sushi 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 1170..1230;  /note=Sushi 20;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302	NA	NA	NA	NA
Q9BTY2	NA	SIMILARITY: Belongs to the glycosyl hydrolase 29 family. {ECO:0000305}.	Glycosyl hydrolase 29 family	NA	NA	NA	NA	NA	NA	NA
Q13275	NA	SIMILARITY: Belongs to the semaphorin family. {ECO:0000305}.	Semaphorin family	NA	COMPBIAS 769..785;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 31..545;  /note=Sema;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00352; DOMAIN 605..690;  /note=Ig-like C2-type	NA	REGION 752..785;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O14792	NA	SIMILARITY: Belongs to the sulfotransferase 1 family. {ECO:0000305}.	Sulfotransferase 1 family	NA	NA	NA	NA	NA	NA	NA
P19801	NA	SIMILARITY: Belongs to the copper/topaquinone oxidase family. {ECO:0000305}.	Copper/topaquinone oxidase family	NA	NA	NA	NA	REGION 371..381;  /note=Substrate binding;  /evidence=ECO:0000269|PubMed:19764817, ECO:0007744|PDB:3HII; REGION 458..463;  /note=Substrate binding;  /evidence=ECO:0000269|PubMed:19764817, ECO:0007744|PDB:3HII; REGION 568..575;  /note=Heparin-binding;  /evidence=ECO:0000250	NA	NA
Q9UBV4	NA	SIMILARITY: Belongs to the Wnt family. {ECO:0000305}.	Wnt family	NA	NA	NA	NA	NA	NA	NA
Q9NR63	NA	SIMILARITY: Belongs to the cytochrome P450 family. {ECO:0000305}.	Cytochrome P450 family	NA	NA	NA	NA	NA	NA	NA
Q6SZW1	DOMAIN: The TIR domain mediates NAD(+) hydrolase (NADase) activity (PubMed:28334607). Self-association of TIR domains is required for NADase activity (PubMed:27671644, PubMed:31278906). {ECO:0000269|PubMed:27671644, ECO:0000269|PubMed:28334607, ECO:0000269|PubMed:31278906}.; DOMAIN: The ARM repeats inhibit the NAD(+) hydrolase (NADase) activity by binding to NAD(+): NAD(+)-binding to ARM repeats facilitates inhibition of the TIR domain NADase through their domain interface (PubMed:33053563). In contrast to classical ARM repeats, the last helix of ARM 6 does not fold back to interact with the first two helices, but instead turns towards the N-terminus of SARM1 (PubMed:33053563). As a result, the two following motifs ARM 7 and ARM 8 reverse their directions and lie perpendicularly (PubMed:33053563). Moreover, ARM repeats interact with different domains not only within each protomer but also of the adjacent ones (PubMed:33053563). {ECO:0000269|PubMed:33053563}.	SIMILARITY: Belongs to the SARM1 family. {ECO:0000305}.	SARM1 family	NA	NA	DOMAIN 412..476;  /note=SAM 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00184; DOMAIN 486..548;  /note=SAM 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00184; DOMAIN 560..703;  /note=TIR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00204	NA	REGION 704..724;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 60..100;  /note=ARM 1;  /evidence=ECO:0000255; REPEAT 114..153;  /note=ARM 2;  /evidence=ECO:0000255; REPEAT 155..193;  /note=ARM 3;  /evidence=ECO:0000255; REPEAT 196..235;  /note=ARM 4;  /evidence=ECO:0000255; REPEAT 237..280;  /note=ARM 5;  /evidence=ECO:0000255; REPEAT 281..314;  /note=ARM 6;  /evidence=ECO:0000255; REPEAT 315..354;  /note=ARM 7;  /evidence=ECO:0000255; REPEAT 359..402;  /note=ARM 8;  /evidence=ECO:0000255	NA
O60341	DOMAIN: The SWIRM domain may act as an anchor site for a histone tail. {ECO:0000269|PubMed:16531230}.	SIMILARITY: Belongs to the flavin monoamine oxidase family. {ECO:0000305}.	Flavin monoamine oxidase family	COILED 110..151;  /evidence=ECO:0000255; COILED 428..514;  /evidence=ECO:0000255	COMPBIAS 105..151;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 174..273;  /note=SWIRM;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00247	NA	REGION 1..176;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 300..852;  /note=Demethylase activity	NA	NA
O14558	NA	SIMILARITY: Belongs to the small heat shock protein (HSP20) family. {ECO:0000255|PROSITE-ProRule:PRU00285}.	Small heat shock protein (HSP20) family	NA	NA	DOMAIN 55..160;  /note=sHSP;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00285	NA	REGION 1..72;  /note=Involved in stabilization of the HSPB1:HSBP6 heterodimer;  /evidence=ECO:0000269|PubMed:27717639	NA	NA
P53701	NA	SIMILARITY: Belongs to the cytochrome c-type heme lyase family. {ECO:0000305}.	Cytochrome c-type heme lyase family	NA	NA	NA	NA	REGION 1..25;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 24..29;  /note=HRM 1; REPEAT 34..39;  /note=HRM 2	NA
Q9GZN4	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 50..290;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q9UPZ6	DOMAIN: Sequence analysis combined with the expression of constructs corresponding each to two or three adjacent TSP type-1 domains suggests the presence of 21 TSP type-1 domains; not all of these are detected by standard bioinformatic tools. {ECO:0000303|PubMed:29555830, ECO:0000303|PubMed:30520531}.	NA	NA	COILED 267..315;  /evidence=ECO:0000255	COMPBIAS 277..302;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1576..1590;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 57..116;  /note=TSP type-1 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 120..192;  /note=TSP type-1 2;  /evidence=ECO:0000255; DOMAIN 194..247;  /note=TSP type-1 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 360..416;  /note=TSP type-1 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 423..510;  /note=TSP type-1 5;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 512..574;  /note=TSP type-1 6;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 634..695;  /note=TSP type-1 7;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 696..769;  /note=TSP type-1 8;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 771..831;  /note=TSP type-1 9;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 832..904;  /note=TSP type-1 10;  /evidence=ECO:0000255; DOMAIN 906..959;  /note=TSP type-1 11;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 960..1033;  /note=TSP type-1 12;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 1035..1095;  /note=TSP type-1 13;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 1096..1163;  /note=TSP type-1 14;  /evidence=ECO:0000255; DOMAIN 1166..1220;  /note=TSP type-1 15;  /evidence=ECO:0000255; DOMAIN 1221..1284;  /note=TSP type-1 16;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 1286..1341;  /note=TSP type-1 17;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 1342..1412;  /note=TSP type-1 18;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210; DOMAIN 1414..1475;  /note=TSP type-1 19;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00210	NA	REGION 265..311;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1570..1591;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P05164	NA	SIMILARITY: Belongs to the peroxidase family. XPO subfamily. {ECO:0000255|PROSITE-ProRule:PRU00298}.	Peroxidase family, XPO subfamily	NA	NA	NA	NA	NA	NA	NA
P27169	NA	SIMILARITY: Belongs to the paraoxonase family. {ECO:0000305}.	Paraoxonase family	NA	NA	NA	NA	NA	NA	NA
O75462	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 3 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 3 subfamily	NA	NA	DOMAIN 38..131;  /note=Ig-like C2-type; DOMAIN 137..232;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 237..341;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 327..331;  /note=WSXWS motif	REGION 332..363;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 399..422;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P20366	NA	SIMILARITY: Belongs to the tachykinin family. {ECO:0000305}.	Tachykinin family	NA	NA	NA	NA	NA	NA	NA
P78423	NA	SIMILARITY: Belongs to the intercrine delta family. {ECO:0000305}.	Intercrine delta family	NA	COMPBIAS 130..171;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 214..256;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 289..303;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 25..100;  /note=Chemokine and involved in interaction with ITGAV:ITGB3 and ITGA4:ITGB1;  /evidence=ECO:0000269|PubMed:23125415; REGION 101..341;  /note=Mucin-like stalk; REGION 128..265;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 289..309;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q8TB22	NA	NA	NA	NA	NA	NA	NA	REGION 23..61;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P80192	NA	SIMILARITY: Belongs to the protein kinase superfamily. STE Ser/Thr protein kinase family. MAP kinase kinase kinase subfamily. {ECO:0000305}.	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	NA	COMPBIAS 26..41;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 532..552;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 578..595;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 719..739;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 783..801;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 894..915;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 927..941;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 955..969;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 971..985;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1012..1038;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 52..116;  /note=SH3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00192; DOMAIN 144..412;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 12..47;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 430..451;  /note=Leucine-zipper 1; REGION 465..486;  /note=Leucine-zipper 2; REGION 532..636;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 675..742;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 781..819;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 890..1038;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q53H12	NA	SIMILARITY: Belongs to the AGK family. {ECO:0000305}.	AGK family	NA	NA	DOMAIN 58..199;  /note=DAGKc;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00783	NA	REGION 15..31;  /note=Hydrophobic;  /evidence=ECO:0000305; REGION 249..271;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9Y258	NA	SIMILARITY: Belongs to the intercrine beta (chemokine CC) family. {ECO:0000305}.	Intercrine beta (chemokine CC) family	NA	NA	NA	NA	NA	NA	NA
P41247	NA	NA	NA	NA	NA	DOMAIN 6..176;  /note=PNPLA;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01161	MOTIF 41..45;  /note=GXSXG;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01161; MOTIF 163..165;  /note=DGA/G;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01161	NA	NA	NA
Q9Y6M0	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 42..286;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q14667	NA	SIMILARITY: Belongs to the SABRE family. {ECO:0000305}.	SABRE family	COILED 1813..1885;  /evidence=ECO:0000255	COMPBIAS 1511..1527;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1495..1529;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 2074..2099;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q14002	NA	SIMILARITY: Belongs to the immunoglobulin superfamily. CEA family. {ECO:0000305}.	Immunoglobulin superfamily, CEA family	NA	NA	DOMAIN 36..142;  /note=Ig-like V-type;  /evidence=ECO:0000250|UniProtKB:P31997; DOMAIN 146..233;  /note=Ig-like C2-type;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00114	NA	NA	NA	NA
Q9P0K1	NA	NA	NA	NA	COMPBIAS 788..812;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 855..877;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 239..438;  /note=Peptidase M12B;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00276; DOMAIN 444..531;  /note=Disintegrin;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00068; DOMAIN 675..712;  /note=EGF-like	NA	REGION 785..906;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O75594	NA	SIMILARITY: Belongs to the N-acetylmuramoyl-L-alanine amidase 2 family. {ECO:0000305}.	N-acetylmuramoyl-L-alanine amidase 2 family	NA	NA	DOMAIN 53..180;  /note=N-acetylmuramoyl-L-alanine amidase;  /evidence=ECO:0000255	NA	NA	NA	NA
Q11201	NA	SIMILARITY: Belongs to the glycosyltransferase 29 family. {ECO:0000305}.	Glycosyltransferase 29 family	NA	NA	NA	NA	NA	NA	NA
P24001	NA	NA	NA	NA	NA	NA	NA	REGION 213..234;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O00187	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 16..137;  /note=CUB 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 138..181;  /note=EGF-like; calcium-binding; DOMAIN 184..296;  /note=CUB 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 298..363;  /note=Sushi 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 364..432;  /note=Sushi 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00302; DOMAIN 445..684;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q9NP71	NA	NA	NA	NA	COMPBIAS 347..365;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 489..505;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 564..589;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 649..703;  /note=bHLH;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00981	NA	REGION 1..36;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 54..80;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 328..365;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 486..527;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 548..648;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 703..724;  /note=Leucine-zipper	NA	NA
Q9NS98	NA	SIMILARITY: Belongs to the semaphorin family. {ECO:0000305}.	Semaphorin family	NA	NA	DOMAIN 32..519;  /note=Sema;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00352; DOMAIN 569..671;  /note=Ig-like C2-type	NA	NA	NA	NA
P22304	NA	SIMILARITY: Belongs to the sulfatase family. {ECO:0000305}.	Sulfatase family	NA	NA	NA	NA	NA	NA	NA
P35030	NA	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 81..301;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
P23352	NA	NA	NA	NA	NA	DOMAIN 127..176;  /note=WAP;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00722; DOMAIN 186..287;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 292..400;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 425..523;  /note=Fibronectin type-III 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 550..658;  /note=Fibronectin type-III 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	NA	REGION 642..680;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q6DKK2	NA	SIMILARITY: Belongs to the TTC19 family. {ECO:0000305}.	TTC19 family	NA	NA	NA	NA	NA	REPEAT 136..169;  /note=TPR 1; REPEAT 179..212;  /note=TPR 2; REPEAT 237..270;  /note=TPR 3; REPEAT 279..312;  /note=TPR 4; REPEAT 318..351;  /note=TPR 5	NA
P07585	NA	SIMILARITY: Belongs to the small leucine-rich proteoglycan (SLRP) family. SLRP class I subfamily. {ECO:0000305}.	Small leucine-rich proteoglycan (SLRP) family, SLRP class I subfamily	NA	NA	NA	NA	NA	REPEAT 73..93;  /note=LRR 1; REPEAT 94..117;  /note=LRR 2; REPEAT 118..141;  /note=LRR 3; REPEAT 142..162;  /note=LRR 4; REPEAT 163..186;  /note=LRR 5; REPEAT 187..212;  /note=LRR 6; REPEAT 213..233;  /note=LRR 7; REPEAT 234..257;  /note=LRR 8; REPEAT 258..281;  /note=LRR 9; REPEAT 282..304;  /note=LRR 10; REPEAT 305..334;  /note=LRR 11; REPEAT 335..359;  /note=LRR 12	NA
