hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
PTGDR	prostaglandin D2 receptor 	0.2140568875101245	G-protein coupled receptor 1 family	Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	prostaglandin D receptor activity [GO:0004956]	G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; mast cell degranulation [GO:0043303]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	ENSG00000168229	Q13258
TNFRSF4	TNF receptor superfamily member 4 	0.21108113258426967	NA	Membrane; Single-pass type I membrane protein.	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	tumor necrosis factor-activated receptor activity [GO:0005031]; virus receptor activity [GO:0001618]	immune response [GO:0006955]; inflammatory response [GO:0006954]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of immunoglobulin production [GO:0002639]; T cell proliferation [GO:0042098]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	ENSG00000186827	P43489
OXTR	oxytocin receptor 	0.20703543370786517	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	Cell membrane; Multi-pass membrane protein.	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; oxytocin receptor activity [GO:0004990]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; vasopressin receptor activity [GO:0005000]	cell surface receptor signaling pathway [GO:0007166]; digestive tract development [GO:0048565]; eating behavior [GO:0042755]; ERK1 and ERK2 cascade [GO:0070371]; estrous cycle [GO:0044849]; female pregnancy [GO:0007565]; G protein-coupled receptor signaling pathway [GO:0007186]; heart development [GO:0007507]; lactation [GO:0007595]; maternal behavior [GO:0042711]; maternal process involved in parturition [GO:0060137]; memory [GO:0007613]; muscle contraction [GO:0006936]; negative regulation of gastric acid secretion [GO:0060455]; positive regulation of blood pressure [GO:0045777]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of norepinephrine secretion [GO:0010701]; positive regulation of penile erection [GO:0060406]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of uterine smooth muscle contraction [GO:0070474]; positive regulation of vasoconstriction [GO:0045907]; regulation of systemic arterial blood pressure by vasopressin [GO:0001992]; response to amphetamine [GO:0001975]; response to anoxia [GO:0034059]; response to cocaine [GO:0042220]; response to cytokine [GO:0034097]; response to drug [GO:0042493]; response to estradiol [GO:0032355]; response to peptide hormone [GO:0043434]; response to progesterone [GO:0032570]; sleep [GO:0030431]; social behavior [GO:0035176]; sperm ejaculation [GO:0042713]; suckling behavior [GO:0001967]; telencephalon development [GO:0021537]	ENSG00000180914	P30559
SSTR5	somatostatin receptor 5 	0.20682964606741575	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; somatostatin receptor activity [GO:0004994]	cellular response to glucocorticoid stimulus [GO:0071385]; glucose homeostasis [GO:0042593]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; negative regulation of cell population proliferation [GO:0008285]; neuropeptide signaling pathway [GO:0007218]; positive regulation of cytokinesis [GO:0032467]; regulation of insulin secretion [GO:0050796]	ENSG00000162009	P35346
CSF3R	colony stimulating factor 3 receptor 	0.2009771496230292	Type I cytokine receptor family, Type 2 subfamily	[Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24753537}; Single-pass type I membrane protein {ECO:0000255}.	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; granulocyte colony-stimulating factor binding [GO:0051916]; signaling receptor activity [GO:0038023]	amelogenesis [GO:0097186]; cell adhesion [GO:0007155]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; neutrophil chemotaxis [GO:0030593]; regulation of myeloid cell differentiation [GO:0045637]; signal transduction [GO:0007165]	ENSG00000119535	Q99062
GFRA3	GDNF family receptor alpha 3 	0.1972904202247191	GDNFR family	Cell membrane; Lipid-anchor, GPI-anchor.	anchored component of membrane [GO:0031225]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extrinsic component of membrane [GO:0019898]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	axon guidance receptor activity [GO:0008046]; glial cell-derived neurotrophic factor receptor activity [GO:0016167]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]	axon guidance [GO:0007411]; MAPK cascade [GO:0000165]; nervous system development [GO:0007399]; neuron migration [GO:0001764]; peripheral nervous system development [GO:0007422]; signal transduction [GO:0007165]; sympathetic nervous system development [GO:0048485]	ENSG00000146013	O60609
LILRB2	leukocyte immunoglobulin like receptor B2 	0.1918670352556371	NA	Cell membrane {ECO:0000269|PubMed:20448110}; Single-pass type I membrane protein.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; tertiary granule membrane [GO:0070821]	amyloid-beta binding [GO:0001540]; cell adhesion molecule binding [GO:0050839]; inhibitory MHC class I receptor activity [GO:0032396]; MHC class Ib protein binding [GO:0023029]; MHC class Ib protein complex binding [GO:0023025]; MHC class I protein binding [GO:0042288]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; protein phosphatase 1 binding [GO:0008157]	adaptive immune response [GO:0002250]; cell-cell signaling [GO:0007267]; cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; cellular response to lipopolysaccharide [GO:0071222]; Fc receptor mediated inhibitory signaling pathway [GO:0002774]; heterotypic cell-cell adhesion [GO:0034113]; immune response [GO:0006955]; immune response-inhibiting cell surface receptor signaling pathway [GO:0002767]; interleukin-10-mediated signaling pathway [GO:0140105]; learning or memory [GO:0007611]; negative regulation of antigen processing and presentation [GO:0002578]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of postsynaptic density organization [GO:1905875]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of T cell costimulation [GO:2000524]; negative regulation of T cell proliferation [GO:0042130]; neutrophil degranulation [GO:0043312]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of long-term synaptic depression [GO:1900454]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T cell tolerance induction [GO:0002666]; positive regulation of tolerance induction [GO:0002645]; regulation of dendritic cell differentiation [GO:2001198]; regulation of immune response [GO:0050776]; regulation of long-term synaptic potentiation [GO:1900271]; signal transduction [GO:0007165]	ENSG00000274513	Q8N423
LRRC4C	leucine rich repeat containing 4C 	0.18156485741573034	NA	Cell junction, synapse, postsynaptic cell membrane {ECO:0000269|PubMed:14595443, ECO:0000269|PubMed:21946559}; Single-pass type I membrane protein {ECO:0000269|PubMed:14595443, ECO:0000269|PubMed:21946559}.	extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of postsynaptic density membrane [GO:0099061]; membrane [GO:0016020]; Schaffer collateral - CA1 synapse [GO:0098685]	cell adhesion molecule binding [GO:0050839]; cell-cell adhesion mediator activity [GO:0098632]	modulation of chemical synaptic transmission [GO:0050804]; regulation of axonogenesis [GO:0050770]; synaptic membrane adhesion [GO:0099560]	ENSG00000148948	Q9HCJ2
SCARF1	scavenger receptor class F member 1 	0.18138765217476222	NA	Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	endocytic vesicle membrane [GO:0030666]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	low-density lipoprotein particle binding [GO:0030169]; scavenger receptor activity [GO:0005044]; transmembrane signaling receptor activity [GO:0004888]	cell adhesion [GO:0007155]; cholesterol catabolic process [GO:0006707]; dendrite development [GO:0016358]; neuron remodeling [GO:0016322]; positive regulation of axon regeneration [GO:0048680]; positive regulation of neuron projection development [GO:0010976]; receptor-mediated endocytosis [GO:0006898]	ENSG00000276336	Q14162
TBXA2R	thromboxane A2 receptor 	0.1803992191011236	G-protein coupled receptor 1 family	Cell membrane; Multi-pass membrane protein.	acrosomal vesicle [GO:0001669]; integral component of plasma membrane [GO:0005887]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]	thromboxane A2 receptor activity [GO:0004961]	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to lipopolysaccharide [GO:0071222]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood coagulation [GO:0030194]; positive regulation of blood pressure [GO:0045777]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of vasoconstriction [GO:0045907]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to nutrient [GO:0007584]; response to testosterone [GO:0033574]; second-messenger-mediated signaling [GO:0019932]	ENSG00000006638	P21731
NOTCH4	notch receptor 4 	0.1792538763154893	NOTCH family	Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Notch 4 intracellular domain]: Nucleus. Note=Following proteolytical processing NICD is translocated to the nucleus.	cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; Notch binding [GO:0005112]; signaling receptor activity [GO:0038023]	branching involved in blood vessel morphogenesis [GO:0001569]; cell differentiation [GO:0030154]; cell fate determination [GO:0001709]; endothelial cell morphogenesis [GO:0001886]; epithelial to mesenchymal transition [GO:0001837]; hemopoiesis [GO:0030097]; mammary gland development [GO:0030879]; miRNA mediated inhibition of translation [GO:0035278]; morphogenesis of a branching structure [GO:0001763]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of cell differentiation [GO:0045596]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription of Notch receptor target [GO:0007221]; transcription initiation from RNA polymerase II promoter [GO:0006367]; vasculature development [GO:0001944]; wound healing [GO:0042060]	ENSG00000238196	Q99466
