hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
CCN4	cellular communication network factor 4	Yes		3.126382	CCN family	Locally secreted to extracellular matrix	Secreted.	cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]	heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]	bone development [GO:0060348]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; glucose homeostasis [GO:0042593]; negative regulation of cell death [GO:0060548]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of fat cell differentiation [GO:0045599]; osteoblast differentiation [GO:0001649]; osteoclast differentiation [GO:0030316]; positive regulation of inflammatory response [GO:0050729]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of Wnt signaling pathway [GO:0030177]; positive regulation of wound healing [GO:0090303]; regulation of cytokine production [GO:0001817]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]	ENSG00000104415	O95388	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN4&keywords=CCN4		
CCN5	cellular communication network factor 5	Yes		0.087477	CCN family	Locally secreted to extracellular matrix	Secreted {ECO:0000305}.	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; nucleus [GO:0005634]	heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]	cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; negative regulation of cell death [GO:0060548]; signal transduction [GO:0007165]	ENSG00000064205	O76076	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN5&keywords=CCN5		
CCN6	cellular communication network factor 6	Yes		0.063983	CCN family	Locally secreted to extracellular matrix	Secreted {ECO:0000269|PubMed:27252383}. Mitochondrion {ECO:0000269|PubMed:27252383}. Note=Associated with membranes. {ECO:0000269|PubMed:27252383}.	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]	growth factor activity [GO:0008083]; heparin binding [GO:0008201]; insulin-like growth factor binding [GO:0005520]; integrin binding [GO:0005178]	cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell death [GO:0060548]; negative regulation of cell population proliferation [GO:0008285]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of reactive oxygen species biosynthetic process [GO:1903426]; signal transduction [GO:0007165]	ENSG00000112761	O95389	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN6&keywords=CCN6		
CCNL1	cyclin L1	No		34.837404	Cyclin family, Cyclin L subfamily	Intracellular or membrane-bound	Nucleus speckle {ECO:0000269|PubMed:18216018}. Nucleus, nucleoplasm {ECO:0000269|PubMed:18216018}. Note=Found in nuclear intrachromatin granules clusters (IGC), also called nuclear speckles, which are storage compartments for nuclear proteins involved in mRNA processing. {ECO:0000250}.	nuclear speck [GO:0016607]; nucleus [GO:0005634]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]	regulation of transcription by RNA polymerase II [GO:0006357]; RNA processing [GO:0006396]	ENSG00000163660	Q9UK58	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNL1&keywords=CCNL1		
CCNL2	cyclin L2	No		23.006829	Cyclin family, Cyclin L subfamily	Intracellular or membrane-bound	Nucleus speckle {ECO:0000269|PubMed:14684736, ECO:0000269|PubMed:18216018}. Nucleus, nucleoplasm {ECO:0000269|PubMed:18216018}.	intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]	regulation of transcription by RNA polymerase II [GO:0006357]	ENSG00000221978	Q96S94	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNL2&keywords=CCNL2		
CD14	CD14 molecule	Yes		10.057555	NA	Secreted to blood	Cell membrane {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:2462937, ECO:0000269|PubMed:3385210}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:1698311, ECO:0000269|PubMed:2462937, ECO:0000269|PubMed:3385210}. Secreted {ECO:0000269|PubMed:25497142, ECO:0000269|PubMed:2779588}. Membrane raft {ECO:0000269|PubMed:16880211}. Golgi apparatus {ECO:0000269|PubMed:16880211}. Note=Secreted forms may arise by cleavage of the GPI anchor. {ECO:0000269|PubMed:2462937, ECO:0000269|PubMed:2779588, ECO:0000269|PubMed:3385210}.	anchored component of external side of plasma membrane [GO:0031362]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lipopolysaccharide receptor complex [GO:0046696]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]	lipopeptide binding [GO:0071723]; lipopolysaccharide binding [GO:0001530]; lipoteichoic acid binding [GO:0070891]; opsonin receptor activity [GO:0001847]; peptidoglycan immune receptor activity [GO:0016019]	apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; cell surface receptor signaling pathway [GO:0007166]; cellular response to diacyl bacterial lipopeptide [GO:0071726]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to molecule of bacterial origin [GO:0071219]; cellular response to triacyl bacterial lipopeptide [GO:0071727]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; MyD88-independent toll-like receptor signaling pathway [GO:0002756]; necroptotic process [GO:0070266]; negative regulation of MyD88-independent toll-like receptor signaling pathway [GO:0034128]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; positive regulation of endocytosis [GO:0045807]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; receptor-mediated endocytosis [GO:0006898]; response to electrical stimulus [GO:0051602]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to magnesium ion [GO:0032026]; response to tumor necrosis factor [GO:0034612]; toll-like receptor 4 signaling pathway [GO:0034142]; toll-like receptor signaling pathway [GO:0002224]; toll-like receptor TLR1:TLR2 signaling pathway [GO:0038123]; toll-like receptor TLR6:TLR2 signaling pathway [GO:0038124]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]	ENSG00000170458	P08571	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14&keywords=CD14		
CD160	CD160 molecule	No		0.316577	NA	Intracellular or membrane-bound	[CD160 antigen]: Cell membrane {ECO:0000269|PubMed:12486241, ECO:0000269|PubMed:18193050, ECO:0000269|PubMed:9973372}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:23761635, ECO:0000269|PubMed:9743336}.; SUBCELLULAR LOCATION: [CD160 antigen, soluble form]: Secreted. Note=Released from the cell membrane by GPI cleavage. {ECO:0000269|PubMed:17237375, ECO:0000269|PubMed:23761635, ECO:0000269|PubMed:9743336}.	anchored component of plasma membrane [GO:0046658]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]	activating MHC class I receptor activity [GO:0032397]; kinase binding [GO:0019900]; MHC class Ib receptor activity [GO:0032394]; MHC class I protein complex binding [GO:0023024]; MHC class I receptor activity [GO:0032393]; signaling receptor binding [GO:0005102]	adaptive immune response [GO:0002250]; angiogenesis [GO:0001525]; defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]; mucosal immune response [GO:0002385]; negative regulation of adaptive immune memory response [GO:1905675]; negative regulation of angiogenesis [GO:0016525]; negative regulation of CD4-positive, alpha-beta T cell costimulation [GO:1900280]; negative regulation of T cell receptor signaling pathway [GO:0050860]; phosphatidylinositol 3-kinase signaling [GO:0014065]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of natural killer cell cytokine production [GO:0002729]; positive regulation of natural killer cell degranulation [GO:0043323]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of natural killer cell mediated immune response to tumor cell [GO:0002857]; regulation of immune response [GO:0050776]; T cell costimulation [GO:0031295]	ENSG00000117281	O95971	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD160&keywords=CD160		
CD163	CD163 molecule	Yes		1.595382	NA	Secreted to blood	[Soluble CD163]: Secreted {ECO:0000269|PubMed:12296867}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10577520, ECO:0000269|PubMed:10648003}; Single-pass type I membrane protein {ECO:0000269|PubMed:10577520, ECO:0000269|PubMed:10648003}. Note=Isoform 1 and isoform 2 show a lower surface expression when expressed in cells.	cytosol [GO:0005829]; endocytic vesicle membrane [GO:0030666]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	scavenger receptor activity [GO:0005044]	acute-phase response [GO:0006953]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; receptor-mediated endocytosis [GO:0006898]	ENSG00000177575	Q86VB7	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD163&keywords=CD163		
CD163L1	CD163 molecule like 1	No		0.666533	NA	Intracellular or membrane-bound	[Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	scavenger receptor activity [GO:0005044]	NA	ENSG00000177675	Q9NR16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD163L1&keywords=CD163L1		
CD164	CD164 molecule	No		204.849438	CD164 family	Intracellular or membrane-bound	Lysosome membrane {ECO:0000269|PubMed:11027692}; Single-pass type I membrane protein {ECO:0000269|PubMed:11027692}. Endosome membrane {ECO:0000269|PubMed:11027692}; Single-pass type I membrane protein {ECO:0000269|PubMed:11027692}. Cell membrane {ECO:0000269|PubMed:11027692, ECO:0000269|PubMed:26197441}; Single-pass type I membrane protein {ECO:0000269|PubMed:11027692}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	cytoplasmic vesicle [GO:0031410]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; plasma membrane [GO:0005886]	NA	cell adhesion [GO:0007155]; hemopoiesis [GO:0030097]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; immune response [GO:0006955]; multicellular organism development [GO:0007275]; muscle organ development [GO:0007517]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell population proliferation [GO:0008285]; signal transduction [GO:0007165]	ENSG00000135535	Q04900	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD164&keywords=CD164		
CD177	CD177 molecule	No		0.292742	NA	Intracellular or membrane-bound	NA	NA	NA	NA	ENSG00000204936	NA	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD177&keywords=CD177		
CD1E	CD1e molecule	No		0.020077	NA	Intracellular or membrane-bound	[T-cell surface glycoprotein CD1e, membrane-associated]: Golgi apparatus membrane; Single-pass type I membrane protein. Early endosome. Late endosome. Note=Predominantly localized in the trans-Golgi network in immature dendritic cells, and as a cleaved, soluble protein in the lysosome lumen of mature dendritic cells.; SUBCELLULAR LOCATION: [T-cell surface glycoprotein CD1e, soluble]: Lysosome lumen.	early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; lysosomal lumen [GO:0043202]	endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; lipopeptide binding [GO:0071723]	adaptive immune response [GO:0002250]; antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; immune response [GO:0006955]; positive regulation of T cell mediated cytotoxicity [GO:0001916]	ENSG00000158488	P15812	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD1E&keywords=CD1E		
CD200R1	CD200 receptor 1	No		0.292294	CD200R family	Intracellular or membrane-bound	[Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	glycosylated region protein binding [GO:0140081]; immunoglobulin receptor activity [GO:0019763]; signaling receptor activity [GO:0038023]	heterotypic cell-cell adhesion [GO:0034113]; intracellular signal transduction [GO:0035556]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of macrophage migration [GO:1905522]; negative regulation of neuroinflammatory response [GO:0150079]; negative regulation of neuron death [GO:1901215]; negative regulation of T cell migration [GO:2000405]; regulation of immune response [GO:0050776]; regulation of neuroinflammatory response [GO:0150077]; signal transduction [GO:0007165]; viral process [GO:0016032]	ENSG00000163606	Q8TD46	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD200R1&keywords=CD200R1		
CD209	CD209 molecule	No		0.396260	NA	Intracellular or membrane-bound	[Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 8]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 9]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 10]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 11]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 12]: Secreted {ECO:0000305}.	cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; host cell [GO:0043657]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	carbohydrate binding [GO:0030246]; mannose binding [GO:0005537]; metal ion binding [GO:0046872]; peptide antigen binding [GO:0042605]; virion binding [GO:0046790]; virus receptor activity [GO:0001618]	adaptive immune response [GO:0002250]; antigen processing and presentation [GO:0019882]; B cell adhesion [GO:0097323]; cell-cell recognition [GO:0009988]; endocytosis [GO:0006897]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intracellular transport of virus [GO:0075733]; leukocyte cell-cell adhesion [GO:0007159]; modulation by virus of host process [GO:0019048]; peptide antigen transport [GO:0046968]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of viral life cycle [GO:1903902]; regulation of T cell proliferation [GO:0042129]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; viral entry into host cell [GO:0046718]; viral genome replication [GO:0019079]; virion attachment to host cell [GO:0019062]	ENSG00000090659	Q9NNX6	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209&keywords=CD209		
