UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
Q969H8	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17362502, ECO:0000269|PubMed:25581518}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:17362502}. Endoplasmic reticulum {ECO:0000269|PubMed:29954947}. Golgi apparatus {ECO:0000269|PubMed:29954947}. Note=The C-terminal RTEL motif may provide retention in the endoplasmic reticulum. {ECO:0000269|PubMed:25581518, ECO:0000269|PubMed:29954947}.	NA	NA	NA
Q2TBF2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	NA	NA	TRANSMEM 19..41;  /note=Helical;  /evidence=ECO:0000255
Q14563	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q99985	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q93098	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P08620	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q02962	SUBCELLULAR LOCATION: Nucleus.	NA	NA	NA
O00763	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10677481}.	NA	NA	NA
O75487	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.; SUBCELLULAR LOCATION: [Secreted glypican-4]: Secreted, extracellular space {ECO:0000250}.	NA	NA	NA
P23142	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
O76096	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12423348}. Cytoplasm {ECO:0000269|PubMed:12423348}.	NA	NA	NA
Q96RQ3	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16023992}.	NA	NA	NA
Q12884	SUBCELLULAR LOCATION: [Prolyl endopeptidase FAP]: Cell surface {ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:24717288, ECO:0000269|PubMed:7911242}. Cell membrane {ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:9065413}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:7923219, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Membrane {ECO:0000269|PubMed:2172980}; Single-pass type II membrane protein {ECO:0000255}. Note=Localized on cell surface with lamellipodia and invadopodia membranes and on shed vesicles. Colocalized with DPP4 at invadopodia and lamellipodia membranes of migratory activated endothelial cells in collagenous matrix. Colocalized with DPP4 on endothelial cells of capillary-like microvessels but not large vessels within invasive breast ductal carcinoma. Anchored and enriched preferentially by integrin alpha-3/beta-1 at invadopodia, plasma membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. Colocalized with PLAUR preferentially at the cell surface of invadopodia membranes in a cytoskeleton-, integrin- and vitronectin-dependent manner. Concentrated at invadopodia membranes, specialized protrusions of the ventral plasma membrane in a fibrobectin-dependent manner. Colocalizes with extracellular components (ECM), such as collagen fibers and fibronectin. {ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:2172980, ECO:0000269|PubMed:24717288, ECO:0000269|PubMed:7911242, ECO:0000269|PubMed:7923219, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}.; SUBCELLULAR LOCATION: [Antiplasmin-cleaving enzyme FAP, soluble form]: Secreted {ECO:0000269|PubMed:14751930, ECO:0000269|PubMed:16223769, ECO:0000269|PubMed:24371721}. Note=Found in blood plasma and serum. {ECO:0000269|PubMed:14751930, ECO:0000269|PubMed:16223769, ECO:0000269|PubMed:24371721}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000303|PubMed:10644713}.	NA	TOPO_DOM 1..4;  /note=Cytoplasmic;  /evidence=ECO:0000255, ECO:0000303|PubMed:14751930; TOPO_DOM 26..760;  /note=Extracellular;  /evidence=ECO:0000255, ECO:0000303|PubMed:14751930	TRANSMEM 5..25;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
O75386	SUBCELLULAR LOCATION: Nucleus. Cell membrane. Cell projection, cilium {ECO:0000269|PubMed:27932497}. Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway (By similarity). Translocates from the plasma membrane to the nucleus upon activation of guanine nucleotide-binding protein G(q) subunit alpha. {ECO:0000250}.	NA	NA	NA
P05305	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q9NP95	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11306498}.	NA	NA	NA
O60477	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11420708}.	NA	NA	NA
Q9BRK5	SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus lumen {ECO:0000250|UniProtKB:Q61112}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:17442889}. Cell membrane {ECO:0000269|PubMed:17442889}. Cell projection, bleb. Note=Isoform 5 colocalizes with STX3 and STXBP1 isoform 2 at the plasma membrane and cell surface blebs. {ECO:0000269|PubMed:17442889}.	NA	NA	NA
Q8N4F0	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	NA	NA	NA
Q15846	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q9Y680	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.	NA	NA	NA
P13688	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250|UniProtKB:P16573}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P16573}. Lateral cell membrane {ECO:0000250|UniProtKB:P16573}. Apical cell membrane {ECO:0000250|UniProtKB:P16573}. Basal cell membrane {ECO:0000250|UniProtKB:P16573}. Cell junction {ECO:0000269|PubMed:16291724}. Cell junction, adherens junction {ECO:0000250|UniProtKB:P16573}. Note=Canalicular domain of hepatocyte plasma membranes. Found as a mixture of monomer, dimer and oligomer in the plasma membrane. Occurs predominantly as cis-dimers and/or small cis-oligomers in the cell junction regions. Found as dimer in the solution. Predominantly localized to the lateral cell membranes. {ECO:0000250|UniProtKB:P16573}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:2025273}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:2025273}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:2025273}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 6]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 7]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 8]: Cell membrane {ECO:0000269|PubMed:14522961}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P16573}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:14522961}. Lateral cell membrane {ECO:0000250|UniProtKB:P16573}. Apical cell membrane {ECO:0000250|UniProtKB:P16573}. Basal cell membrane {ECO:0000250|UniProtKB:P16573}. Cell junction {ECO:0000269|PubMed:8018919}. Cell junction, adherens junction {ECO:0000250|UniProtKB:P16573}. Note=Predominantly localized to the lateral cell membranes. Found as a mixture of monomer, dimer and oligomer in the plasma membrane. Occurs predominantly as cis-dimers and/or small cis-oligomers in the cell junction regions (By similarity). Co-localizes with ANXA2 in secretory vesicles and with S100A10/p11 at the plasma membrane (PubMed:14522961). {ECO:0000250|UniProtKB:P16573, ECO:0000269|PubMed:14522961}.; SUBCELLULAR LOCATION: Cell projection, microvillus membrane {ECO:0000250|UniProtKB:P31809}; Single-pass type I membrane protein {ECO:0000305}. Apical cell membrane {ECO:0000269|PubMed:10436421}; Single-pass type I membrane protein {ECO:0000305}. Note=Localized to the apical glycocalyx surface (PubMed:10436421). Colocalizes with CEACAM20 at the apical brush border of intestinal cells. {ECO:0000250|UniProtKB:P31809, ECO:0000269|PubMed:10436421}.	NA	TOPO_DOM 35..428;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 453..526;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 429..452;  /note=Helical;  /evidence=ECO:0000255
P43652	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12463752, ECO:0000269|PubMed:15952736, ECO:0000269|PubMed:26902720, ECO:0000269|PubMed:7517938}.	NA	NA	NA
O76038	SUBCELLULAR LOCATION: Cytoplasm. Secreted {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Predominantly cytoplasmic. A small proportion is associated with secretory granules and membrane fractions (By similarity). Detectable in human serum after ischemic neuronal damage. {ECO:0000250}.	NA	NA	NA
P25940	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	NA	NA	NA
P36980	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P19875	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P02771	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P53420	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000255|PROSITE-ProRule:PRU00736}. Note=Colocalizes with COL4A4 and COL4A5 in GBM, tubular basement membrane (TBM) and synaptic basal lamina (BL). {ECO:0000250}.	NA	NA	NA
Q9UN73	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	NA	TOPO_DOM 30..697;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 719..950;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 698..718;  /note=Helical;  /evidence=ECO:0000255
O60346	SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein. Nucleus. Note=In colorectal cancer tissue, expression is concentrated at the lateral membrane of epithelial cells.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:21804599}.	NA	NA	NA
Q99665	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 24..622;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 644..862;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 623..643;  /note=Helical;  /evidence=ECO:0000255
Q9BXJ4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	NA	NA	NA
Q14993	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q14494	SUBCELLULAR LOCATION: [Endoplasmic reticulum membrane sensor NFE2L1]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:16687406, ECO:0000269|PubMed:24448410, ECO:0000269|PubMed:24998528}; Single-pass type II membrane protein {ECO:0000269|PubMed:20932482, ECO:0000269|PubMed:24448410}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:16687406, ECO:0000269|PubMed:24448410, ECO:0000269|PubMed:24998528}; Single-pass type III membrane protein {ECO:0000269|PubMed:20932482, ECO:0000269|PubMed:24448410}. Note=In normal conditions, probably has a single-pass type II membrane protein topology, with the DNA-binding domain facing the endoplasmic reticulum lumen (PubMed:24448410). Following cellular stress, it is rapidly and efficiently retrotranslocated to the cytosolic side of the membrane, a process dependent on p97/VCP, to have a single-pass type III membrane protein topology with the major part of the protein facing the cytosol (PubMed:24448410). Retrotranslocated proteins are normally rapidly degraded by the proteasome and active species do not accumulate (PubMed:24448410). However, retrotranslocated protein NFE2L1 escapes degradation and is cleaved at Leu-104 by DDI2, releasing the protein from the endoplasmic reticulum membrane and forming the transcription factor NRF1 that translocates into the nucleus (PubMed:24448410). {ECO:0000269|PubMed:24448410}.; SUBCELLULAR LOCATION: [Transcription factor NRF1]: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:16687406, ECO:0000269|PubMed:20932482, ECO:0000269|PubMed:24998528, ECO:0000269|PubMed:27528193}. Note=Translocates into the nucleus following cleavage of Endoplasmic reticulum membrane sensor NFE2L1 by aspartyl protease DDI2. {ECO:0000269|PubMed:24448410, ECO:0000269|PubMed:27528193}.	NA	NA	TRANSMEM 7..24;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P21953	SUBCELLULAR LOCATION: Mitochondrion matrix.	NA	NA	NA
Q02809	SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side.	NA	NA	NA
Q8WXW3	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Cytoplasm {ECO:0000269|PubMed:25218441}. Secreted {ECO:0000269|PubMed:25218441}. Note=In progesterone-treated astrocytoma cells a 57 kDa protein and isoform 1 (90 kDa) have been described, both being located in the intracellular medium and secreted. Respective predominant forms are isoform 1 in the intracellular and the 57 kDa protein in the extracellular medium (PubMed:25218441). {ECO:0000269|PubMed:25218441}.; SUBCELLULAR LOCATION: [Isoform 1]: Nucleus {ECO:0000269|PubMed:14634107, ECO:0000269|PubMed:25218441}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:15305375}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:21224392, ECO:0000269|PubMed:26297806}. Secreted {ECO:0000269|PubMed:25218441}. Note=Localizes to centriolar satellites throughout the cell cycle. {ECO:0000269|PubMed:26297806}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:14634107, ECO:0000269|PubMed:3863495}. Note=Secreted by progesterone-treated lymphocytes (PubMed:14634107). {ECO:0000269|PubMed:14634107}.	NA	NA	NA
P55809	SUBCELLULAR LOCATION: Mitochondrion matrix.	NA	NA	NA
Q99645	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q14517	SUBCELLULAR LOCATION: [Protocadherin Fat 1]: Cell membrane {ECO:0000269|PubMed:15922730}; Single-pass type I membrane protein {ECO:0000269|PubMed:15922730}.; SUBCELLULAR LOCATION: [Protocadherin Fat 1, nuclear form]: Nucleus {ECO:0000269|PubMed:15922730}.	NA	TOPO_DOM 22..4181;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 4203..4588;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 4182..4202;  /note=Helical;  /evidence=ECO:0000255
Q9NQZ5	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.	NA	NA	NA
Q8NC60	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:19103604}; Peripheral membrane protein {ECO:0000269|PubMed:19103604}; Matrix side {ECO:0000269|PubMed:19103604}.	NA	NA	NA
Q07092	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9022684}.	NA	NA	NA
P04114	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22580899}. Secreted {ECO:0000269|PubMed:22580899, ECO:0000269|PubMed:26224785}. Lipid droplet {ECO:0000269|PubMed:28183703}.	NA	NA	NA
P13987	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted. Note=Soluble form found in a number of tissues.	NA	NA	NA
O00602	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}. Cell membrane {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}; Peripheral membrane protein {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}; Extracellular side {ECO:0000269|PubMed:20400674, ECO:0000269|PubMed:21037097}. Note=Found on the monocyte and granulocyte surface (PubMed:20400674).	NA	NA	NA
Q12889	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle. Note=Secretory granules.	NA	NA	NA
Q9UKJ1	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000305}.	NA	TOPO_DOM 20..197;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 219..303;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 198..218;  /note=Helical;  /evidence=ECO:0000255
Q9P2J2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cell junction, synapse {ECO:0000250}. Note=Enriched at the excitatory synapses in mature neurons. {ECO:0000250}.	NA	TOPO_DOM 21..734;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 756..1179;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 735..755;  /note=Helical;  /evidence=ECO:0000255
O96014	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	NA	NA	NA
P42566	SUBCELLULAR LOCATION: Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, clathrin-coated pit. Note=Recruited to the plasma membrane upon EGFR activation and localizes to coated pits. Colocalizes with UBQLN1 in ubiquitin-rich cytoplasmic aggregates that are not endocytic compartments and in cytoplasmic juxtanuclear structures called aggresomes. {ECO:0000269|PubMed:16159959}.; SUBCELLULAR LOCATION: [Isoform 2]: Early endosome membrane {ECO:0000269|PubMed:18362181}; Peripheral membrane protein {ECO:0000269|PubMed:18362181}; Cytoplasmic side {ECO:0000269|PubMed:18362181}. Note=Colocalizes with HGS on bilayered clathrin coats on endosomes.	NA	NA	NA
P15291	SUBCELLULAR LOCATION: [Isoform Long]: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:1714903, ECO:0000269|PubMed:20378551}; Single-pass type II membrane protein. Cell membrane {ECO:0000269|PubMed:1714903}; Single-pass type II membrane protein. Cell surface {ECO:0000269|PubMed:1714903}. Cell projection, filopodium {ECO:0000250|UniProtKB:P15535}. Note=Found in trans cisternae of Golgi but is mainly localized at the plasma membrane (PubMed:1714903). B4GALT1 cell surface expression is regulated by UBE2Q1 (By similarity). {ECO:0000250|UniProtKB:P15535, ECO:0000269|PubMed:1714903}.; SUBCELLULAR LOCATION: [Isoform Short]: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:1714903}; Single-pass type II membrane protein. Note=Found in trans cisternae of Golgi. {ECO:0000269|PubMed:1714903}.; SUBCELLULAR LOCATION: [Processed beta-1,4-galactosyltransferase 1]: Secreted {ECO:0000303|PubMed:2120039}. Note=Soluble form found in body fluids. {ECO:0000303|PubMed:2120039}.	NA	TOPO_DOM 1..24;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 45..398;  /note=Lumenal;  /evidence=ECO:0000255	TRANSMEM 25..44;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
Q9UM22	SUBCELLULAR LOCATION: Lysosome lumen {ECO:0000269|PubMed:30729188}. Secreted {ECO:0000269|PubMed:30729188}. Note=Lysosomal and also secreted. {ECO:0000269|PubMed:30729188}.	NA	NA	NA
Q86YB8	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10818100}; Peripheral membrane protein {ECO:0000269|PubMed:10818100}; Lumenal side {ECO:0000269|PubMed:10818100}. Note=The association with ERP44 may be essential for its retention in the endoplasmic reticulum.	NA	NA	NA
Q9GZY6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12486104, ECO:0000269|PubMed:12514734}; Single-pass type III membrane protein {ECO:0000269|PubMed:12486104, ECO:0000269|PubMed:12514734}. Note=Present in lipid rafts.	NA	TOPO_DOM 1..5;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 27..243;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 6..26;  /note=Helical; Signal-anchor for type III membrane protein;  /evidence=ECO:0000255
O95450	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
Q9UL52	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q5S248}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q5S248}.; SUBCELLULAR LOCATION: [Transmembrane protease serine 11E catalytic chain]: Secreted {ECO:0000250|UniProtKB:Q5S248}. Note=Activated by cleavage and secreted. {ECO:0000250|UniProtKB:Q5S248}.	NA	TOPO_DOM 1..19;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 41..423;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 20..40;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P11597	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:24293641, ECO:0000269|PubMed:3281933}. Note=Secreted in plasma. {ECO:0000269|PubMed:3281933}.	NA	NA	NA
Q9P2K2	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25122923}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:21359175, ECO:0000269|PubMed:25122923}.	NA	NA	NA
